Pattern,Components,Score,PrimeProduct
3x2 + 6 + 5 + 2,"pair=3;kickers=6,5,2",5963,1386
2x2 + 8 + 5 + 3,"pair=2;kickers=8,5,3",6174,1428
6x2 + 2x2 + 3,pair_high=6;pair_low=2;kicker=3,3259,1452
5x2 + 4 + 3 + 2,"pair=5;kickers=4,3,2",5525,1470
3x2 + 2x2 + A,pair_high=3;pair_low=2;kicker=A,3315,1476
2x3 + K + 4,"trips=2;kickers=K,4",2421,1480
3x3 + 6 + 4,"trips=3;kickers=6,4",2397,1485
2x3 + 8 + 6,"trips=2;kickers=8,6",2454,1496
3x2 + 8 + 4 + 2,"pair=3;kickers=8,4,2",5955,1530
43 + 9,quad=3;kicker=9,148,1539
2x2 + 6 + 5 + 4,"pair=2;kickers=6,5,4",6182,1540
3x3 + J + 2,"trips=3;kickers=J,2",2373,1566
4x2 + 3x2 + 5,pair_high=4;pair_low=3;kicker=5,3302,1575
2x2 + 9 + 5 + 3,"pair=2;kickers=9,5,3",6164,1596
2x3 + J + 5,"trips=2;kickers=J,5",2437,1624
3x2 + 7 + 5 + 2,"pair=3;kickers=7,5,2",5960,1638
2x3 + A + 4,"trips=2;kickers=A,4",2411,1640
4x2 + 6 + 3 + 2,"pair=4;kickers=6,3,2",5744,1650
2x3 + 9 + 6,"trips=2;kickers=9,6",2449,1672
3x3 + Q + 2,"trips=3;kickers=Q,2",2365,1674
4x2 + 2x2 + 8,pair_high=4;pair_low=2;kicker=8,3310,1700
3x2 + 9 + 4 + 2,"pair=3;kickers=9,4,2",5945,1710
2x2 + 7 + 6 + 3,"pair=2;kickers=7,6,3",6178,1716
2x3 + Q + 5,"trips=2;kickers=Q,5",2429,1736
2x2 + J + 4 + 3,"pair=2;kickers=J,4,3",6129,1740
4x3 + 5 + 2,"trips=4;kickers=5,2",2334,1750
3x3 + 7 + 4,"trips=3;kickers=7,4",2394,1755
2x3 + 8 + 7,"trips=2;kickers=8,7",2453,1768
2x2 + 7 + 5 + 4,"pair=2;kickers=7,5,4",6179,1820
2x2 + Q + 4 + 3,"pair=2;kickers=Q,4,3",6101,1860
43 + T,quad=3;kicker=T,147,1863
44 + 3,quad=4;kicker=3,141,1875
4x2 + 2x2 + 9,pair_high=4;pair_low=2;kicker=9,3309,1900
2x2 + T + 5 + 3,"pair=2;kickers=T,5,3",6149,1932
4x2 + 7 + 3 + 2,"pair=4;kickers=7,3,2",5741,1950
2x3 + 9 + 7,"trips=2;kickers=9,7",2448,1976
3x3 + K + 2,"trips=3;kickers=K,2",2356,1998
2x3 + T + 6,"trips=2;kickers=T,6",2443,2024
7x2 + 2x2 + 3,pair_high=7;pair_low=2;kicker=3,3215,2028
5x3 + 3 + 2,"trips=5;kickers=3,2",2269,2058
3x2 + T + 4 + 2,"pair=3;kickers=T,4,2",5930,2070
2x3 + K + 5,"trips=2;kickers=K,5",2420,2072
3x3 + 6 + 5,"trips=3;kickers=6,5",2396,2079
3x2 + 8 + 5 + 2,"pair=3;kickers=8,5,2",5954,2142
5x2 + 2x2 + 6,pair_high=5;pair_low=2;kicker=6,3290,2156
6x2 + 3x2 + 2,pair_high=6;pair_low=3;kicker=2,3248,2178
5x2 + 3x2 + 4,pair_high=5;pair_low=3;kicker=4,3280,2205
3x3 + A + 2,"trips=3;kickers=A,2",2346,2214
2x2 + K + 4 + 3,"pair=2;kickers=K,4,3",6065,2220
2x2 + 8 + 6 + 3,"pair=2;kickers=8,6,3",6172,2244
3x3 + 8 + 4,"trips=3;kickers=8,4",2390,2295
2x3 + A + 5,"trips=2;kickers=A,5",2410,2296
4x2 + 2x2 + T,pair_high=4;pair_low=2;kicker=T,3308,2300
Straight to 6,"ranks=2,3,4,5,6",1608,2310
2x3 + 8x2,trips=2;pair=8,317,2312
43 + J,quad=3;kicker=J,146,2349
2x2 + 8 + 5 + 4,"pair=2;kickers=8,5,4",6173,2380
2x3 + T + 7,"trips=2;kickers=T,7",2442,2392
3x2 + 9 + 5 + 2,"pair=3;kickers=9,5,2",5944,2394
6x2 + 2x2 + 4,pair_high=6;pair_low=2;kicker=4,3258,2420
2x2 + J + 5 + 3,"pair=2;kickers=J,5,3",6128,2436
5x2 + 4x2 + 2,pair_high=5;pair_low=4;kicker=2,3270,2450
3x3 + 7 + 5,"trips=3;kickers=7,5",2393,2457
2x2 + A + 4 + 3,"pair=2;kickers=A,4,3",6020,2460
4x2 + 3x2 + 6,pair_high=4;pair_low=3;kicker=6,3301,2475
2x2 + 9 + 6 + 3,"pair=2;kickers=9,6,3",6162,2508
43 + Q,quad=3;kicker=Q,145,2511
5x2 + 2x2 + 7,pair_high=5;pair_low=2;kicker=7,3289,2548
4x2 + 8 + 3 + 2,"pair=4;kickers=8,3,2",5735,2550
2x3 + J + 6,"trips=2;kickers=J,6",2436,2552
3x3 + 9 + 4,"trips=3;kickers=9,4",2385,2565
3x2 + 7 + 6 + 2,"pair=3;kickers=7,6,2",5958,2574
2x3 + 9 + 8,"trips=2;kickers=9,8",2447,2584
2x2 + Q + 5 + 3,"pair=2;kickers=Q,5,3",6100,2604
3x2 + J + 4 + 2,"pair=3;kickers=J,4,2",5909,2610
4x3 + 5 + 3,"trips=4;kickers=5,3",2333,2625
2x2 + 8 + 7 + 3,"pair=2;kickers=8,7,3",6169,2652
2x2 + 9 + 5 + 4,"pair=2;kickers=9,5,4",6163,2660
2x3 + Q + 6,"trips=2;kickers=Q,6",2428,2728
High card: 75432,"ranks=7,5,4,3,2",7462,2730
4x3 + 6 + 2,"trips=4;kickers=6,2",2332,2750
3x2 + Q + 4 + 2,"pair=3;kickers=Q,4,2",5881,2790
4x2 + 9 + 3 + 2,"pair=4;kickers=9,3,2",5725,2850
2x2 + 7 + 6 + 4,"pair=2;kickers=7,6,4",6177,2860
2x3 + 9x2,trips=2;pair=9,316,2888
3x2 + T + 5 + 2,"pair=3;kickers=T,5,2",5929,2898
4x2 + 2x2 + J,pair_high=4;pair_low=2;kicker=J,3307,2900
4x2 + 3x2 + 7,pair_high=4;pair_low=3;kicker=7,3300,2925
2x2 + 9 + 7 + 3,"pair=2;kickers=9,7,3",6159,2964
43 + K,quad=3;kicker=K,144,2997
2x3 + J + 7,"trips=2;kickers=J,7",2435,3016
2x2 + T + 6 + 3,"pair=2;kickers=T,6,3",6147,3036
7x2 + 3x2 + 2,pair_high=7;pair_low=3;kicker=2,3204,3042
5x3 + 3x2,trips=5;pair=3,285,3087
4x2 + 2x2 + Q,pair_high=4;pair_low=2;kicker=Q,3306,3100
3x3 + T + 4,"trips=3;kickers=T,4",2379,3105
2x2 + K + 5 + 3,"pair=2;kickers=K,5,3",6064,3108
2x3 + T + 8,"trips=2;kickers=T,8",2441,3128
3x3 + 8 + 5,"trips=3;kickers=8,5",2389,3213
2x2 + T + 5 + 4,"pair=2;kickers=T,5,4",6148,3220
2x3 + Q + 7,"trips=2;kickers=Q,7",2427,3224
5x2 + 6 + 3 + 2,"pair=5;kickers=6,3,2",5524,3234
4x3 + 7 + 2,"trips=4;kickers=7,2",2329,3250
2x3 + K + 6,"trips=2;kickers=K,6",2419,3256
3x3 + 6x2,trips=3;pair=6,307,3267
43 + A,quad=3;kicker=A,143,3321
3x2 + K + 4 + 2,"pair=3;kickers=K,4,2",5845,3330
5x2 + 2x2 + 8,pair_high=5;pair_low=2;kicker=8,3288,3332
3x2 + 8 + 6 + 2,"pair=3;kickers=8,6,2",5952,3366
7x2 + 2x2 + 4,pair_high=7;pair_low=2;kicker=4,3214,3380
6x2 + 2x2 + 5,pair_high=6;pair_low=2;kicker=5,3257,3388
5x3 + 4 + 2,"trips=5;kickers=4,2",2268,3430
2x2 + A + 5 + 3,"pair=2;kickers=A,5,3",6019,3444
4x2 + T + 3 + 2,"pair=4;kickers=T,3,2",5710,3450
3x2 + 6 + 5 + 4,"pair=3;kickers=6,5,4",5962,3465
8x2 + 2x2 + 3,pair_high=8;pair_low=2;kicker=3,3160,3468
2x3 + T + 9,"trips=2;kickers=T,9",2440,3496
High card: 85432,"ranks=8,5,4,3,2",7458,3570
2x2 + T + 7 + 3,"pair=2;kickers=T,7,3",6144,3588
3x3 + 9 + 5,"trips=3;kickers=9,5",2384,3591
2x3 + A + 6,"trips=2;kickers=A,6",2409,3608
6x2 + 4 + 3 + 2,"pair=6;kickers=4,3,2",5305,3630
3x2 + J + 5 + 2,"pair=3;kickers=J,5,2",5908,3654
5x2 + 4x2 + 3,pair_high=5;pair_low=4;kicker=3,3269,3675
3x2 + A + 4 + 2,"pair=3;kickers=A,4,2",5800,3690
4x2 + 2x2 + K,pair_high=4;pair_low=2;kicker=K,3305,3700
5x2 + 2x2 + 9,pair_high=5;pair_low=2;kicker=9,3287,3724
2x2 + 8 + 6 + 4,"pair=2;kickers=8,6,4",6171,3740
3x2 + 9 + 6 + 2,"pair=3;kickers=9,6,2",5942,3762
5x2 + 7 + 3 + 2,"pair=5;kickers=7,3,2",5521,3822
4x2 + 3x2 + 8,pair_high=4;pair_low=3;kicker=8,3299,3825
2x2 + J + 6 + 3,"pair=2;kickers=J,6,3",6126,3828
2x3 + K + 7,"trips=2;kickers=K,7",2418,3848
4x2 + 6 + 5 + 2,"pair=4;kickers=6,5,2",5743,3850
3x3 + 7 + 6,"trips=3;kickers=7,6",2392,3861
2x2 + 9 + 8 + 3,"pair=2;kickers=9,8,3",6155,3876
3x2 + Q + 5 + 2,"pair=3;kickers=Q,5,2",5880,3906
3x3 + J + 4,"trips=3;kickers=J,4",2372,3915
2x3 + J + 8,"trips=2;kickers=J,8",2434,3944
3x2 + 8 + 7 + 2,"pair=3;kickers=8,7,2",5949,3978
High card: 95432,"ranks=9,5,4,3,2",7444,3990
2x2 + 7 + 6 + 5,"pair=2;kickers=7,6,5",6176,4004
2x2 + J + 5 + 4,"pair=2;kickers=J,5,4",6127,4060
2x2 + Q + 6 + 3,"pair=2;kickers=Q,6,3",6098,4092
3x2 + 7 + 5 + 4,"pair=3;kickers=7,5,4",5959,4095
4x2 + 2x2 + A,pair_high=4;pair_low=2;kicker=A,3304,4100
4x3 + 6 + 3,"trips=4;kickers=6,3",2331,4125
2x2 + 9 + 6 + 4,"pair=2;kickers=9,6,4",6161,4180
3x3 + Q + 4,"trips=3;kickers=Q,4",2364,4185
2x3 + Q + 8,"trips=2;kickers=Q,8",2426,4216
2x3 + Tx2,trips=2;pair=T,315,4232
4x3 + 8 + 2,"trips=4;kickers=8,2",2325,4250
2x3 + A + 7,"trips=2;kickers=A,7",2408,4264
4x2 + 3x2 + 9,pair_high=4;pair_low=3;kicker=9,3298,4275
High card: 76432,"ranks=7,6,4,3,2",7461,4290
9x2 + 2x2 + 3,pair_high=9;pair_low=2;kicker=3,3094,4332
2x2 + Q + 5 + 4,"pair=2;kickers=Q,5,4",6099,4340
3x3 + T + 5,"trips=3;kickers=T,5",2378,4347
4x2 + J + 3 + 2,"pair=4;kickers=J,3,2",5689,4350
44 + 5,quad=4;kicker=5,140,4375
2x3 + J + 9,"trips=2;kickers=J,9",2433,4408
2x2 + 8 + 7 + 4,"pair=2;kickers=8,7,4",6168,4420
3x2 + 9 + 7 + 2,"pair=3;kickers=9,7,2",5939,4446
5x2 + 2x2 + T,pair_high=5;pair_low=2;kicker=T,3286,4508
2x2 + J + 7 + 3,"pair=2;kickers=J,7,3",6123,4524
4x2 + 7 + 5 + 2,"pair=4;kickers=7,5,2",5740,4550
3x2 + T + 6 + 2,"pair=3;kickers=T,6,2",5927,4554
3x3 + 7x2,trips=3;pair=7,306,4563
4x2 + Q + 3 + 2,"pair=4;kickers=Q,3,2",5661,4650
3x2 + K + 5 + 2,"pair=3;kickers=K,5,2",5844,4662
2x2 + T + 8 + 3,"pair=2;kickers=T,8,3",6140,4692
2x3 + Q + 9,"trips=2;kickers=Q,9",2425,4712
7x2 + 2x2 + 5,pair_high=7;pair_low=2;kicker=5,3213,4732
4x3 + 9 + 2,"trips=4;kickers=9,2",2320,4750
45 + 2,quad=5;kicker=2,130,4802
High card: T5432,"ranks=T,5,4,3,2",7410,4830
2x2 + Q + 7 + 3,"pair=2;kickers=Q,7,3",6095,4836
5x2 + 3x2 + 6,pair_high=5;pair_low=3;kicker=6,3279,4851
4x3 + 7 + 3,"trips=4;kickers=7,3",2328,4875
2x2 + K + 6 + 3,"pair=2;kickers=K,6,3",6062,4884
2x2 + 9 + 7 + 4,"pair=2;kickers=9,7,4",6158,4940
3x3 + K + 4,"trips=3;kickers=K,4",2355,4995
5x2 + 8 + 3 + 2,"pair=5;kickers=8,3,2",5515,4998
2x3 + K + 8,"trips=2;kickers=K,8",2417,5032
3x3 + 8 + 6,"trips=3;kickers=8,6",2388,5049
2x2 + T + 6 + 4,"pair=2;kickers=T,6,4",6146,5060
7x2 + 4 + 3 + 2,"pair=7;kickers=4,3,2",5085,5070
6x2 + 5 + 3 + 2,"pair=6;kickers=5,3,2",5304,5082
5x3 + 4 + 3,"trips=5;kickers=4,3",2267,5145
3x2 + A + 5 + 2,"pair=3;kickers=A,5,2",5799,5166
4x2 + 3x2 + T,pair_high=4;pair_low=3;kicker=T,3297,5175
2x2 + K + 5 + 4,"pair=2;kickers=K,5,4",6063,5180
8x2 + 3x2 + 2,pair_high=8;pair_low=3;kicker=2,3149,5202
2x2 + 8 + 6 + 5,"pair=2;kickers=8,6,5",6170,5236
2x2 + T + 9 + 3,"pair=2;kickers=T,9,3",6135,5244
6x3 + 2x2,trips=6;pair=2,274,5324
2x3 + J + T,"trips=2;kickers=J,T",2432,5336
3x2 + 8 + 5 + 4,"pair=3;kickers=8,5,4",5953,5355
3x2 + T + 7 + 2,"pair=3;kickers=T,7,2",5924,5382
5x2 + 6 + 4 + 2,"pair=5;kickers=6,4,2",5523,5390
2x2 + A + 6 + 3,"pair=2;kickers=A,6,3",6017,5412
6x2 + 3x2 + 4,pair_high=6;pair_low=3;kicker=4,3247,5445
3x3 + J + 5,"trips=3;kickers=J,5",2371,5481
3x3 + A + 4,"trips=3;kickers=A,4",2345,5535
4x2 + K + 3 + 2,"pair=4;kickers=K,3,2",5625,5550
2x3 + A + 8,"trips=2;kickers=A,8",2407,5576
5x2 + 9 + 3 + 2,"pair=5;kickers=9,3,2",5505,5586
High card: 86432,"ranks=8,6,4,3,2",7457,5610
2x3 + K + 9,"trips=2;kickers=K,9",2416,5624
3x3 + 9 + 6,"trips=3;kickers=9,6",2383,5643
5x2 + 2x2 + J,pair_high=5;pair_low=2;kicker=J,3285,5684
2x3 + Q + T,"trips=2;kickers=Q,T",2424,5704
5x2 + 3x2 + 7,pair_high=5;pair_low=3;kicker=7,3278,5733
2x2 + A + 5 + 4,"pair=2;kickers=A,5,4",6018,5740
3x2 + J + 6 + 2,"pair=3;kickers=J,6,2",5906,5742
4x3 + T + 2,"trips=4;kickers=T,2",2314,5750
2x2 + K + 7 + 3,"pair=2;kickers=K,7,3",6059,5772
4x2 + 6 + 5 + 3,"pair=4;kickers=6,5,3",5742,5775
8x2 + 2x2 + 4,pair_high=8;pair_low=2;kicker=4,3159,5780
3x2 + 9 + 8 + 2,"pair=3;kickers=9,8,2",5935,5814
2x2 + 9 + 6 + 5,"pair=2;kickers=9,6,5",6160,5852
3x3 + Q + 5,"trips=3;kickers=Q,5",2363,5859
2x2 + J + 8 + 3,"pair=2;kickers=J,8,3",6119,5916
4x2 + 8 + 5 + 2,"pair=4;kickers=8,5,2",5734,5950
3x3 + 8 + 7,"trips=3;kickers=8,7",2387,5967
2x2 + T + 7 + 4,"pair=2;kickers=T,7,4",6143,5980
3x2 + 9 + 5 + 4,"pair=3;kickers=9,5,4",5943,5985
High card: 76532,"ranks=7,6,5,3,2",7460,6006
6x2 + 4x2 + 2,pair_high=6;pair_low=4;kicker=2,3237,6050
5x2 + 2x2 + Q,pair_high=5;pair_low=2;kicker=Q,3284,6076
High card: J5432,"ranks=J,5,4,3,2",7341,6090
4x3 + 5x2,trips=4;pair=5,296,6125
3x2 + Q + 6 + 2,"pair=3;kickers=Q,6,2",5878,6138
4x2 + A + 3 + 2,"pair=4;kickers=A,3,2",5580,6150
2x2 + 8 + 7 + 5,"pair=2;kickers=8,7,5",6167,6188
2x3 + A + 9,"trips=2;kickers=A,9",2406,6232
High card: 96432,"ranks=9,6,4,3,2",7443,6270
6x2 + 2x2 + 7,pair_high=6;pair_low=2;kicker=7,3256,6292
2x2 + Q + 8 + 3,"pair=2;kickers=Q,8,3",6091,6324
Tx2 + 2x2 + 3,pair_high=T;pair_low=2;kicker=3,3017,6348
5x2 + 7 + 4 + 2,"pair=5;kickers=7,4,2",5520,6370
4x3 + 8 + 3,"trips=4;kickers=8,3",2324,6375
2x2 + J + 6 + 4,"pair=2;kickers=J,6,4",6125,6380
2x2 + A + 7 + 3,"pair=2;kickers=A,7,3",6014,6396
3x2 + 7 + 6 + 4,"pair=3;kickers=7,6,4",5957,6435
2x2 + 9 + 8 + 4,"pair=2;kickers=9,8,4",6154,6460
9x2 + 3x2 + 2,pair_high=9;pair_low=3;kicker=2,3083,6498
High card: Q5432,"ranks=Q,5,4,3,2",7216,6510
4x2 + 3x2 + J,pair_high=4;pair_low=3;kicker=J,3296,6525
2x2 + J + 9 + 3,"pair=2;kickers=J,9,3",6114,6612
High card: 87432,"ranks=8,7,4,3,2",7453,6630
4x2 + 9 + 5 + 2,"pair=4;kickers=9,5,2",5724,6650
3x3 + 9 + 7,"trips=3;kickers=9,7",2382,6669
2x3 + Jx2,trips=2;pair=J,314,6728
5x2 + T + 3 + 2,"pair=5;kickers=T,3,2",5490,6762
3x2 + J + 7 + 2,"pair=3;kickers=J,7,2",5903,6786
2x3 + K + T,"trips=2;kickers=K,T",2415,6808
2x2 + Q + 6 + 4,"pair=2;kickers=Q,6,4",6097,6820
4x2 + 7 + 5 + 3,"pair=4;kickers=7,5,3",5739,6825
3x3 + T + 6,"trips=3;kickers=T,6",2377,6831
44 + 6,quad=4;kicker=6,139,6875
2x2 + 9 + 7 + 5,"pair=2;kickers=9,7,5",6157,6916
4x2 + 3x2 + Q,pair_high=4;pair_low=3;kicker=Q,3295,6975
3x3 + K + 5,"trips=3;kickers=K,5",2354,6993
3x2 + T + 8 + 2,"pair=3;kickers=T,8,2",5920,7038
2x2 + Q + 9 + 3,"pair=2;kickers=Q,9,3",6086,7068
2x2 + T + 6 + 5,"pair=2;kickers=T,6,5",6145,7084
7x2 + 5 + 3 + 2,"pair=7;kickers=5,3,2",5084,7098
4x3 + 9 + 3,"trips=4;kickers=9,3",2319,7125
4x2 + 7 + 6 + 2,"pair=4;kickers=7,6,2",5738,7150
2x3 + Q + J,"trips=2;kickers=Q,J",2423,7192
45 + 3,quad=5;kicker=3,129,7203
9x2 + 2x2 + 4,pair_high=9;pair_low=2;kicker=4,3093,7220
3x2 + T + 5 + 4,"pair=3;kickers=T,5,4",5928,7245
4x3 + J + 2,"trips=4;kickers=J,2",2307,7250
5x2 + 2x2 + K,pair_high=5;pair_low=2;kicker=K,3283,7252
3x2 + Q + 7 + 2,"pair=3;kickers=Q,7,2",5875,7254
3x2 + K + 6 + 2,"pair=3;kickers=K,6,2",5842,7326
High card: 97432,"ranks=9,7,4,3,2",7439,7410
7x2 + 2x2 + 6,pair_high=7;pair_low=2;kicker=6,3212,7436
5x2 + 3x2 + 8,pair_high=5;pair_low=3;kicker=8,3277,7497
2x2 + J + 7 + 4,"pair=2;kickers=J,7,4",6122,7540
2x3 + A + T,"trips=2;kickers=A,T",2405,7544
5x3 + 6 + 2,"trips=5;kickers=6,2",2266,7546
2x2 + K + 8 + 3,"pair=2;kickers=K,8,3",6055,7548
High card: T6432,"ranks=T,6,4,3,2",7409,7590
7x2 + 3x2 + 4,pair_high=7;pair_low=3;kicker=4,3203,7605
6x2 + 3x2 + 5,pair_high=6;pair_low=3;kicker=5,3246,7623
2x3 + Qx2,trips=2;pair=Q,313,7688
3x3 + A + 5,"trips=3;kickers=A,5",2344,7749
4x3 + Q + 2,"trips=4;kickers=Q,2",2299,7750
High card: K5432,"ranks=K,5,4,3,2",7007,7770
3x3 + 8x2,trips=3;pair=8,305,7803
2x2 + T + 8 + 4,"pair=2;kickers=T,8,4",6139,7820
High card: 86532,"ranks=8,6,5,3,2",7456,7854
3x2 + T + 9 + 2,"pair=3;kickers=T,9,2",5915,7866
6x3 + 3 + 2,"trips=6;kickers=3,2",2203,7986
2x2 + J + T + 3,"pair=2;kickers=J,T,3",6108,8004
5x2 + 2x2 + A,pair_high=5;pair_low=2;kicker=A,3282,8036
4x2 + T + 5 + 2,"pair=4;kickers=T,5,2",5709,8050
2x2 + Q + 7 + 4,"pair=2;kickers=Q,7,4",6094,8060
3x3 + T + 7,"trips=3;kickers=T,7",2376,8073
5x2 + 6 + 4 + 3,"pair=5;kickers=6,4,3",5522,8085
8x2 + 2x2 + 5,pair_high=8;pair_low=2;kicker=5,3158,8092
3x2 + A + 6 + 2,"pair=3;kickers=A,6,2",5797,8118
44 + 7,quad=4;kicker=7,138,8125
2x2 + K + 6 + 4,"pair=2;kickers=K,6,4",6061,8140
6x2 + 2x2 + 8,pair_high=6;pair_low=2;kicker=8,3255,8228
4x2 + 3x2 + K,pair_high=4;pair_low=3;kicker=K,3294,8325
5x2 + 8 + 4 + 2,"pair=5;kickers=8,4,2",5514,8330
2x2 + A + 8 + 3,"pair=2;kickers=A,8,3",6010,8364
2x2 + T + 7 + 5,"pair=2;kickers=T,7,5",6142,8372
5x2 + 3x2 + 9,pair_high=5;pair_low=3;kicker=9,3276,8379
3x2 + 8 + 6 + 4,"pair=3;kickers=8,6,4",5951,8415
2x2 + K + 9 + 3,"pair=2;kickers=K,9,3",6050,8436
7x2 + 4x2 + 2,pair_high=7;pair_low=4;kicker=2,3193,8450
6x2 + 5 + 4 + 2,"pair=6;kickers=5,4,2",5303,8470
5x2 + J + 3 + 2,"pair=5;kickers=J,3,2",5469,8526
2x2 + Q + T + 3,"pair=2;kickers=Q,T,3",6080,8556
5x3 + 4x2,trips=5;pair=4,284,8575
2x3 + K + J,"trips=2;kickers=K,J",2414,8584
